Unnamed: 0,id,release_date,title
0,238,1972-03-14,The Godfather
1,278,1994-09-23,The Shawshank Redemption
2,240,1974-12-20,The Godfather Part II
3,424,1993-12-15,Schindler's List
4,19404,1995-10-19,Dilwale Dulhania Le Jayenge
5,569094,2023-05-31,Spider-Man: Across the Spider-Verse
6,389,1957-04-10,12 Angry Men
7,129,2001-07-20,Spirited Away
8,372058,2016-08-26,Your Name.
9,496243,2019-05-30,Parasite
10,497,1999-12-10,The Green Mile
11,155,2008-07-14,The Dark Knight
12,772071,2022-09-14,Cuando Sea Joven
13,680,1994-09-10,Pulp Fiction
14,13,1994-06-23,Forrest Gump
15,429,1966-12-23,"The Good, the Bad and the Ugly"
16,122,2003-12-01,The Lord of the Rings: The Return of the King
17,704264,2019-11-21,Primal: Tales of Savagery
18,769,1990-09-12,GoodFellas
19,372754,2016-02-20,Dou kyu sei – Classmates
20,11216,1988-11-17,Cinema Paradiso
21,346,1954-04-26,Seven Samurai
22,696374,2020-05-29,Gabriel's Inferno
23,637,1997-12-20,Life Is Beautiful
24,995133,2022-12-25,"The Boy, the Mole, the Fox and the Horse"
25,12477,1988-04-16,Grave of the Fireflies
26,620249,2019-08-27,The Legend of Hei
27,539,1960-06-22,Psycho
28,311,1984-05-23,Once Upon a Time in America
29,724089,2020-07-31,Gabriel's Inferno: Part II
30,667257,2021-06-17,Impossible Things
31,550,1999-10-15,Fight Club
32,761053,2020-11-19,Gabriel's Inferno: Part III
33,598,2002-08-30,City of God
34,510,1975-11-19,One Flew Over the Cuckoo's Nest
35,14537,1962-09-15,Harakiri
36,820067,2022-05-20,The Quintessential Quintuplets Movie
37,157336,2014-11-05,Interstellar
38,4935,2004-09-09,Howl's Moving Castle
39,324857,2018-12-06,Spider-Man: Into the Spider-Verse
40,378064,2016-09-17,A Silent Voice: The Movie
41,120,2001-12-18,The Lord of the Rings: The Fellowship of the Ring
42,1891,1980-05-20,The Empire Strikes Back
43,255709,2013-10-02,Hope
44,92321,2011-09-17,Hotarubi no Mori e
45,40096,2000-09-15,A Dog's Will
46,423,2002-09-17,The Pianist
47,121,2002-12-18,The Lord of the Rings: The Two Towers
48,244786,2014-10-10,Whiplash
49,568332,2018-12-31,Taylor Swift: Reputation Stadium Tour
50,652837,2020-12-25,"Josee, the Tiger and the Fish"
51,807,1995-09-22,Se7en
52,27205,2010-07-15,Inception
53,567,1954-08-01,Rear Window
54,599,1950-08-10,Sunset Boulevard
55,73,1998-07-01,American History X
56,18491,1997-07-19,Neon Genesis Evangelion: The End of Evangelion
57,3782,1952-10-09,Ikiru
58,12493,1963-03-01,High and Low
59,274,1991-02-14,The Silence of the Lambs
60,914,1940-10-15,The Great Dictator
61,851644,2022-10-06,20th Century Girl
62,128,1997-07-12,Princess Mononoke
63,901,1931-02-01,City Lights
64,533514,2020-09-18,Violet Evergarden: The Movie
65,101,1994-09-14,Léon: The Professional
66,644479,2019-11-01,Dedicated to my ex
67,207,1989-06-02,Dead Poets Society
68,105,1985-07-03,Back to the Future
69,630566,2020-10-09,Clouds
70,25237,1985-07-09,Come and See
71,16672,1964-02-15,Woman in the Dunes
72,3082,1936-02-05,Modern Times
73,447362,2020-11-27,Life in a Year
74,568300,2019-01-26,BTS World Tour: Love Yourself in Seoul
75,897429,2021-11-12,All Too Well: The Short Film
76,527641,2019-03-14,Five Feet Apart
77,20334,1940-01-12,The Shop Around the Corner
78,335,1968-12-21,Once Upon a Time in the West
79,632632,2020-08-22,Given
80,795607,2021-07-23,Green Snake
81,283566,2021-03-08,Evangelion: 3.0+1.0 Thrice Upon a Time
82,10494,1997-07-25,Perfect Blue
83,29259,1960-03-18,Le Trou
84,315162,2022-12-07,Puss in Boots: The Last Wish
85,28,1979-08-15,Apocalypse Now
86,10376,1998-10-28,The Legend of 1900
87,361743,2022-05-24,Top Gun: Maverick
88,637920,2019-10-10,Miracle in Cell No. 7
89,441130,2020-10-26,Wolfwalkers
90,77338,2011-11-02,The Intouchables
91,975,1957-10-25,Paths of Glory
92,537061,2019-09-02,Steven Universe: The Movie
93,15804,1991-07-27,A Brighter Summer Day
94,670,2003-11-21,Oldboy
95,618344,2020-05-05,Justice League Dark: Apokolips War
96,299534,2019-04-24,Avengers: Endgame
97,1010581,2023-06-08,My Fault
98,265177,2014-09-19,Mommy
99,299536,2018-04-25,Avengers: Infinity War
100,1585,1946-12-20,It's a Wonderful Life
101,8587,1994-06-24,The Lion King
102,635302,2020-10-16,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
103,508965,2019-11-08,Klaus
104,504253,2018-09-01,I Want to Eat Your Pancreas
105,42269,1974-12-21,We All Loved Each Other So Much
106,797,1966-10-18,Persona
107,575813,2019-10-25,Better Days
108,490132,2018-11-16,Green Book
109,290098,2016-06-01,The Handmaiden
110,24188,1962-12-05,Il Sorpasso
111,572154,2019-06-15,Rascal Does Not Dream of a Dreaming Girl
112,110420,2012-07-21,Wolf Children
113,556574,2020-07-03,Hamilton
114,354912,2017-10-27,Coco
115,37257,1957-12-17,Witness for the Prosecution
116,5156,1948-11-24,Bicycle Thieves
117,284,1960-06-21,The Apartment
118,694,1980-05-23,The Shining
119,522924,2019-08-08,The Art of Racing in the Rain
120,31414,1994-02-08,Satantango
121,18148,1953-11-03,Tokyo Story
122,185,1971-12-19,A Clockwork Orange
123,16869,2009-08-19,Inglourious Basterds
124,610892,2019-09-06,Violet Evergarden: Eternity and the Auto Memory Doll
125,857,1998-07-24,Saving Private Ryan
126,490,1957-02-16,The Seventh Seal
127,518068,2018-08-01,Along with the Gods: The Last 49 Days
128,98,2000-05-04,Gladiator
129,791373,2021-03-18,Zack Snyder's Justice League
130,603,1999-03-30,The Matrix
131,11,1977-05-25,Star Wars
132,667276,2021-02-15,Legend Quest: The Origin
133,1124,2006-10-19,The Prestige
134,313106,2013-11-23,Doctor Who: The Day of the Doctor
135,555604,2022-11-09,Guillermo del Toro's Pinocchio
136,50014,2011-08-09,The Help
137,10098,1921-01-21,The Kid
138,11324,2010-02-14,Shutter Island
139,629,1995-07-19,The Usual Suspects
140,755812,2020-12-18,"Miraculous World: New York, United HeroeZ"
141,592350,2019-12-20,My Hero Academia: Heroes Rising
142,133919,1974-09-15,Scenes from a Marriage
143,324786,2016-10-07,Hacksaw Ridge
144,2457,1945-03-15,Children of Paradise
145,1398,1979-05-25,Stalker
146,422,1963-02-14,8½
147,476292,2018-02-24,Maquia: When the Promised Flower Blooms
148,823754,2021-07-22,Bo Burnham: Inside
149,26451,1970-10-16,Investigation of a Citizen Above Suspicion
150,77,2000-10-11,Memento
151,426,1958-05-28,Vertigo
152,626332,2023-03-11,Flamin' Hot
153,531428,2019-06-17,Portrait of a Lady on Fire
154,20532,1954-03-31,Sansho the Bailiff
155,297610,2012-10-23,Abraham Lincoln Vampire Hunter: The Great Calamity
156,810693,2021-12-24,Jujutsu Kaisen 0
157,654299,2019-12-24,Out of the Clear Blue Sky
158,740937,2021-11-22,Simone: Woman of the Century
159,517814,2018-09-20,Capernaum
160,762975,2022-07-29,Purple Hearts
161,470044,2018-10-19,The Hate U Give
162,289,1942-11-26,Casablanca
163,475557,2019-10-01,Joker
164,398818,2017-09-01,Call Me by Your Name
165,664767,2020-04-12,Mortal Kombat Legends: Scorpion's Revenge
166,399106,2016-06-16,Piper
167,68718,2012-12-25,Django Unchained
168,872,1952-04-09,Singin' in the Rain
169,1422,2006-10-04,The Departed
170,111,1983-12-09,Scarface
171,620683,2019-12-26,My Mom is a Character 3
172,606856,2019-12-20,Togo
173,103,1976-02-09,Taxi Driver
174,406997,2017-11-13,Wonder
175,532067,2019-08-30,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson
176,508442,2020-12-25,Soul
177,19,1927-02-06,Metropolis
178,600354,2020-12-23,The Father
179,20941,2005-01-28,Innocent Voices
180,705,1950-10-06,All About Eve
181,666,1998-11-20,Central Station
182,489,1997-12-05,Good Will Hunting
183,20914,1975-10-24,My Friends
184,92060,1983-11-14,Michael Jackson's Thriller
185,996,1944-06-14,Double Indemnity
186,614,1957-12-26,Wild Strawberries
187,348,1979-05-25,Alien
188,55823,1959-10-28,The Great War
189,439,1960-02-05,La Dolce Vita
190,600,1987-06-26,Full Metal Jacket
191,500,1992-09-02,Reservoir Dogs
192,935,1964-01-29,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
193,21634,2009-01-24,Prayers for Bobby
194,11878,1961-04-25,Yojimbo
195,550776,2021-06-01,Believe Me: The Abduction of Lisa McVey
196,640344,2020-01-17,Me Against You: Mr. S's Vendetta
